Contract A,Contract B,Similarity,Size A,Size B
ERC1967Proxy_0xadf7.sol,TransparentUpgradeableProxy_0x2e51.sol,94.92,44163,35097
TransparentUpgradeableProxy_0x238a.sol,TransparentUpgradeableProxy_0x7598.sol,94.92,44163,35070
TransparentUpgradeableProxy_0xa129.sol,TransparentUpgradeableProxy_0xbca3.sol,94.92,35070,44163
TransparentUpgradeableProxy_0xbca3.sol,TransparentUpgradeableProxy_0xec53.sol,94.92,44163,35070
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0xbca3.sol,94.92,35097,44163
ERC1967Proxy_0xadf7.sol,TransparentUpgradeableProxy_0xa129.sol,94.92,44163,35070
TransparentUpgradeableProxy_0x8be3.sol,TransparentUpgradeableProxy_0x238a.sol,94.92,35070,44163
ERC1967Proxy_0xadf7.sol,TransparentUpgradeableProxy_0x0366.sol,94.92,44163,35070
TransparentUpgradeableProxy_0x7598.sol,TransparentUpgradeableProxy_0xbca3.sol,94.92,35070,44163
ERC1967Proxy_0xadf7.sol,TransparentUpgradeableProxy_0xec53.sol,94.92,44163,35070
TransparentUpgradeableProxy_0x8be3.sol,TransparentUpgradeableProxy_0xbca3.sol,94.92,35070,44163
TransparentUpgradeableProxy_0x8be3.sol,TransparentUpgradeableProxy_0x3328.sol,94.92,35070,44163
TransparentUpgradeableProxy_0x1a9d.sol,TransparentUpgradeableProxy_0xec53.sol,94.92,44163,35070
TransparentUpgradeableProxy_0xa129.sol,TransparentUpgradeableProxy_0x1a9d.sol,94.92,35070,44163
TransparentUpgradeableProxy_0xa129.sol,TransparentUpgradeableProxy_0x238a.sol,94.92,35070,44163
TransparentUpgradeableProxy_0x238a.sol,TransparentUpgradeableProxy_0xec53.sol,94.92,44163,35070
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x3328.sol,94.92,35097,44163
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x238a.sol,94.92,35097,44163
ERC1967Proxy_0xadf7.sol,TransparentUpgradeableProxy_0x7598.sol,94.92,44163,35070
TransparentUpgradeableProxy_0x2e51.sol,TransparentUpgradeableProxy_0x1a9d.sol,94.92,35097,44163
ERC1967Proxy_0xadf7.sol,TransparentUpgradeableProxy_0x8be3.sol,94.92,44163,35070
ERC1967Proxy_0xadf7.sol,TransparentUpgradeableProxy_0x18cc.sol,94.92,44163,35097
TransparentUpgradeableProxy_0x18cc.sol,TransparentUpgradeableProxy_0x238a.sol,94.92,35097,44163
TransparentUpgradeableProxy_0xa129.sol,TransparentUpgradeableProxy_0x3328.sol,94.92,35070,44163
TransparentUpgradeableProxy_0x3328.sol,TransparentUpgradeableProxy_0x7598.sol,94.92,44163,35070
TransparentUpgradeableProxy_0x18cc.sol,TransparentUpgradeableProxy_0x1a9d.sol,94.92,35097,44163
TransparentUpgradeableProxy_0x1a9d.sol,TransparentUpgradeableProxy_0x7598.sol,94.92,44163,35070
TransparentUpgradeableProxy_0x0366.sol,TransparentUpgradeableProxy_0x1a9d.sol,94.92,35070,44163
TransparentUpgradeableProxy_0x18cc.sol,TransparentUpgradeableProxy_0xbca3.sol,94.92,35097,44163
TransparentUpgradeableProxy_0x0366.sol,TransparentUpgradeableProxy_0x238a.sol,94.92,35070,44163
TransparentUpgradeableProxy_0x0366.sol,TransparentUpgradeableProxy_0x3328.sol,94.92,35070,44163
TransparentUpgradeableProxy_0x8be3.sol,TransparentUpgradeableProxy_0x1a9d.sol,94.92,35070,44163
